0e0711b8-3d19-45b6-b306-6f3d9f3dec67:1746116814706:72:S:CREATE TABLE Station (\n    STATIONID NUMBER PRIMARY KEY,\n    NAME VARCHAR2(100) NOT NULL,\n    BESCHREIBUNG VARCHAR2(200),\n    ORT VARCHAR2(50),\n    AKTIV CHAR(1) DEFAULT 'Y' CHECK (AKTIV IN ('Y', 'N'))\n);
cde5e865-4e6c-4e67-a2ce-7adc2638a2f7:1746116814975:59:S:INSERT INTO Station (STATIONID, NAME, BESCHREIBUNG, ORT, AKTIV) \nVALUES (1, 'Station 1', 'Laufbahn', 'Sportplatz Nord', 'Y');
e0d52590-9eff-4ac8-a0b0-6b2b2530c532:1746116815177:36:S:INSERT INTO Station (STATIONID, NAME, BESCHREIBUNG, ORT, AKTIV) \nVALUES (2, 'Station 2', 'Weitsprung', 'Sportplatz Ost', 'Y');
729c495e-9d2b-446d-bbda-66d3e1f54591:1746116815282:35:S:COMMIT;
0edccfb7-4eae-430a-8048-613141a48ed2:1746608137064:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (13, 'SAL');
4a9b7aeb-e995-4803-96b5-e25a83c0fddf:1746608137377:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (14, 'MUE');
ce3467ab-2e6f-4819-84a9-23c64d72cdb1:1746608137683:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (15, 'FES');
e018857f-c1dc-4448-80bc-fcae9e484a55:1746608138078:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (16, 'HNK');
0baa4682-a10e-4530-bf81-ac2f37ad7f9a:1746608138392:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (17, 'SIG');
272ccb02-0d93-43e9-9637-3c2c5b2ebd2e:1746608138762:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (18, 'SON');
87e43d2f-a5e5-4464-a177-b1c99ca612b6:1746608139133:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (19, 'DRO');
f896b0ff-83c2-453d-a3ff-f5a25246b612:1746608139485:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (20, 'STR');
cb32a9db-065d-4acb-8fb9-2f64f2822561:1746608139730:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (21, 'WEL');
9acdcabb-bb50-497a-82f6-26eee84e6b38:1746608140095:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (22, 'LES');
0659c64b-87b5-4b8a-9925-8dd04ab65d96:1746608140445:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (23, 'MEY');
f5bade41-c125-4c3b-8885-1c3455648ef6:1746608140803:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (24, 'HAP');
d9e1e7d8-6cf8-4e29-8952-6f638edce259:1746608140983:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (25, 'PAN');
daaa32b6-407b-4a03-8f2b-1503f0dcc0f9:1746608148580:173:S:SELECT * FROM BETREUER ORDER BY BETREUERID;
15f99409-cfe6-43af-8c6a-dc070c8ecbdd:1746608149210:0:F:MERGE INTO BETREUER t\nUSING (SELECT 'LEW' AS NAME FROM dual) s\nON (t.NAME = s.NAME)\nWHEN NOT MATCHED THEN\n    INSERT (BETREUERID, NAME) VALUES (BETREUER_SEQ.NEXTVAL, 'LEW');
ffaf9d73-7abe-48ac-8a27-2527378c825c:1746608149867:0:F:MERGE INTO BETREUER t\nUSING (SELECT 'Anna' AS NAME FROM dual) s\nON (t.NAME = s.NAME)\nWHEN NOT MATCHED THEN\n    INSERT (BETREUERID, NAME) VALUES (BETREUER_SEQ.NEXTVAL, 'Anna');
2ecb92bb-e994-4483-9e35-1ce8b1b0d74d:1746608150518:0:F:MERGE INTO BETREUER t\nUSING (SELECT 'Ina' AS NAME FROM dual) s\nON (t.NAME = s.NAME)\nWHEN NOT MATCHED THEN\n    INSERT (BETREUERID, NAME) VALUES (BETREUER_SEQ.NEXTVAL, 'Ina');
e79deb4b-393e-4a72-803d-b62a220b3d58:1746608151143:0:F:MERGE INTO BETREUER t\nUSING (SELECT 'HES' AS NAME FROM dual) s\nON (t.NAME = s.NAME)\nWHEN NOT MATCHED THEN\n    INSERT (BETREUERID, NAME) VALUES (BETREUER_SEQ.NEXTVAL, 'HES');
556be6d8-6d54-4509-85aa-35885e45fdd1:1746608151777:0:F:MERGE INTO BETREUER t\nUSING (SELECT 'Sportlehrer' AS NAME FROM dual) s\nON (t.NAME = s.NAME)\nWHEN NOT MATCHED THEN\n    INSERT (BETREUERID, NAME) VALUES (BETREUER_SEQ.NEXTVAL, 'Sportlehrer');
4707844b-cc04-492b-8e4c-bef073c8b24a:1746608152385:0:F:MERGE INTO BETREUER t\nUSING (SELECT 'BOE' AS NAME FROM dual) s\nON (t.NAME = s.NAME)\nWHEN NOT MATCHED THEN\n    INSERT (BETREUERID, NAME) VALUES (BETREUER_SEQ.NEXTVAL, 'BOE');
d526ef2f-a14c-416f-a34f-e08f5c3c530c:1746608152994:0:F:MERGE INTO BETREUER t\nUSING (SELECT 'SEPE' AS NAME FROM dual) s\nON (t.NAME = s.NAME)\nWHEN NOT MATCHED THEN\n    INSERT (BETREUERID, NAME) VALUES (BETREUER_SEQ.NEXTVAL, 'SEPE');
eb396bd3-5ff2-4e2c-9a81-07673caf65d1:1746608153662:0:F:MERGE INTO BETREUER t\nUSING (SELECT 'GEM' AS NAME FROM dual) s\nON (t.NAME = s.NAME)\nWHEN NOT MATCHED THEN\n    INSERT (BETREUERID, NAME) VALUES (BETREUER_SEQ.NEXTVAL, 'GEM');
62de545d-5a72-42ae-8a95-5a95b8257ce9:1746608154313:0:F:MERGE INTO BETREUER t\nUSING (SELECT 'BUN' AS NAME FROM dual) s\nON (t.NAME = s.NAME)\nWHEN NOT MATCHED THEN\n    INSERT (BETREUERID, NAME) VALUES (BETREUER_SEQ.NEXTVAL, 'BUN');
8af71e5d-30ab-4a63-9e60-ce709f0699e4:1746608154901:0:F:MERGE INTO BETREUER t\nUSING (SELECT 'LOR' AS NAME FROM dual) s\nON (t.NAME = s.NAME)\nWHEN NOT MATCHED THEN\n    INSERT (BETREUERID, NAME) VALUES (BETREUER_SEQ.NEXTVAL, 'LOR');
02304d27-4f61-4d20-9447-54c0b2560909:1746608155360:0:F:MERGE INTO BETREUER t\nUSING (SELECT 'MAR' AS NAME FROM dual) s\nON (t.NAME = s.NAME)\nWHEN NOT MATCHED THEN\n    INSERT (BETREUERID, NAME) VALUES (BETREUER_SEQ.NEXTVAL, 'MAR');
b09c0205-14c2-4b52-9234-7c8c358d8cb6:1746608155820:0:F:MERGE INTO BETREUER t\nUSING (SELECT 'STF' AS NAME FROM dual) s\nON (t.NAME = s.NAME)\nWHEN NOT MATCHED THEN\n    INSERT (BETREUERID, NAME) VALUES (BETREUER_SEQ.NEXTVAL, 'STF');
a35bf19d-fb51-4076-8077-41a65ffcc01f:1746608156293:0:F:MERGE INTO BETREUER t\nUSING (SELECT 'SAL' AS NAME FROM dual) s\nON (t.NAME = s.NAME)\nWHEN NOT MATCHED THEN\n    INSERT (BETREUERID, NAME) VALUES (BETREUER_SEQ.NEXTVAL, 'SAL');
ac39d24a-48ce-4135-950d-e018db7139b6:1746608156763:0:F:MERGE INTO BETREUER t\nUSING (SELECT 'MUE' AS NAME FROM dual) s\nON (t.NAME = s.NAME)\nWHEN NOT MATCHED THEN\n    INSERT (BETREUERID, NAME) VALUES (BETREUER_SEQ.NEXTVAL, 'MUE');
7928da1a-5e49-46e6-8438-ab90ac956348:1746608157221:0:F:MERGE INTO BETREUER t\nUSING (SELECT 'FES' AS NAME FROM dual) s\nON (t.NAME = s.NAME)\nWHEN NOT MATCHED THEN\n    INSERT (BETREUERID, NAME) VALUES (BETREUER_SEQ.NEXTVAL, 'FES');
1a639bec-51f3-465e-b0f9-6f090705a233:1746608157857:0:F:MERGE INTO BETREUER t\nUSING (SELECT 'HNK' AS NAME FROM dual) s\nON (t.NAME = s.NAME)\nWHEN NOT MATCHED THEN\n    INSERT (BETREUERID, NAME) VALUES (BETREUER_SEQ.NEXTVAL, 'HNK');
43d7383b-206d-44b7-be16-e6d6a50e011d:1746608158503:0:F:MERGE INTO BETREUER t\nUSING (SELECT 'SIG' AS NAME FROM dual) s\nON (t.NAME = s.NAME)\nWHEN NOT MATCHED THEN\n    INSERT (BETREUERID, NAME) VALUES (BETREUER_SEQ.NEXTVAL, 'SIG');
4e9fe05d-5a74-4d17-b22b-3cb650594830:1746608159004:0:F:MERGE INTO BETREUER t\nUSING (SELECT 'SON' AS NAME FROM dual) s\nON (t.NAME = s.NAME)\nWHEN NOT MATCHED THEN\n    INSERT (BETREUERID, NAME) VALUES (BETREUER_SEQ.NEXTVAL, 'SON');
445c07d6-ec91-4cad-8b0c-47845bd91832:1746608159595:0:F:MERGE INTO BETREUER t\nUSING (SELECT 'DRO' AS NAME FROM dual) s\nON (t.NAME = s.NAME)\nWHEN NOT MATCHED THEN\n    INSERT (BETREUERID, NAME) VALUES (BETREUER_SEQ.NEXTVAL, 'DRO');
1fd3ecdf-2a8b-41f9-8286-6393f19c9b29:1746608160285:0:F:MERGE INTO BETREUER t\nUSING (SELECT 'STR' AS NAME FROM dual) s\nON (t.NAME = s.NAME)\nWHEN NOT MATCHED THEN\n    INSERT (BETREUERID, NAME) VALUES (BETREUER_SEQ.NEXTVAL, 'STR');
b00a7a54-96dd-483b-b8ed-950527dd8c25:1746608160954:0:F:MERGE INTO BETREUER t\nUSING (SELECT 'WEL' AS NAME FROM dual) s\nON (t.NAME = s.NAME)\nWHEN NOT MATCHED THEN\n    INSERT (BETREUERID, NAME) VALUES (BETREUER_SEQ.NEXTVAL, 'WEL');
aeb3a8bf-78ac-4a08-9037-fa0252e1d16a:1746608161589:0:F:MERGE INTO BETREUER t\nUSING (SELECT 'LES' AS NAME FROM dual) s\nON (t.NAME = s.NAME)\nWHEN NOT MATCHED THEN\n    INSERT (BETREUERID, NAME) VALUES (BETREUER_SEQ.NEXTVAL, 'LES');
7d4a50fb-a4d2-47b5-ac87-c052dbd8ff05:1746608162198:0:F:MERGE INTO BETREUER t\nUSING (SELECT 'MEY' AS NAME FROM dual) s\nON (t.NAME = s.NAME)\nWHEN NOT MATCHED THEN\n    INSERT (BETREUERID, NAME) VALUES (BETREUER_SEQ.NEXTVAL, 'MEY');
